Timestamp,Open,High,Low,Close,Volume
1541412000.0,6405.38,6405.38,6399.86,6403.13,1.13227704
1541412060.0,6403.13,6404.15,6403.13,6404.15,0.29610694
1541412120.0,6403.14,6403.14,6397.3,6402.01,10.1652
1541412180.0,6403.12,6403.12,6403.12,6403.12,0.1217
1541412240.0,6402.02,6403.03,6402.02,6403.03,0.10956885
1541412300.0,6403.11,6403.11,6403.11,6403.11,0.1375551
1541412360.0,6403.11,6403.11,6403.11,6403.11,0.27625212
1541412420.0,6404.17,6407.32,6404.17,6407.32,4.53529542
1541412480.0,6406.14,6406.14,6404.36,6404.36,0.07806087
1541412540.0,6404.85,6404.85,6404.85,6404.85,0.03903282
1541412600.0,6404.85,6404.85,6404.85,6404.85,0.00794638
1541412660.0,6406.68,6406.69,6406.68,6406.68,0.50657982
1541412720.0,6406.69,6406.69,6406.69,6406.69,0.03902161
1541412780.0,6404.84,6404.84,6404.84,6404.84,0.24980208
1541412840.0,6406.45,6406.45,6406.45,6406.45,0.08350444
1541412900.0,6408.04,6408.74,6406.96,6406.96,0.97131836
1541412960.0,6406.96,6406.96,6406.96,6406.96,0.0
1541413020.0,6409.63,6410.0,6409.63,6409.64,0.60260259
1541413080.0,6408.82,6410.54,6408.82,6410.54,4.62614658
1541413140.0,6408.83,6408.83,6406.31,6406.31,0.8751167
1541413200.0,6406.31,6407.92,6406.31,6407.92,0.14236714
1541413260.0,6407.1,6407.1,6407.1,6407.1,0.002601
1541413320.0,6407.1,6407.1,6407.1,6407.1,0.46752821
1541413380.0,6407.1,6407.1,6407.1,6407.1,0.0
1541413440.0,6407.1,6407.1,6407.1,6407.1,0.01362378
1541413500.0,6406.33,6406.33,6402.98,6405.55,2.62978669
1541413560.0,6405.55,6405.55,6405.55,6405.55,0.0
1541413620.0,6405.54,6405.54,6405.54,6405.54,1.12089728
1541413680.0,6405.55,6405.55,6405.54,6405.54,0.04919293
1541413740.0,6405.55,6408.48,6405.55,6406.39,10.73335289
1541413800.0,6408.05,6409.24,6405.58,6405.58,1.61506573
1541413860.0,6407.13,6407.65,6405.54,6405.54,3.43281706
1541413920.0,6405.23,6405.23,6405.13,6405.13,3.03233437
1541413980.0,6402.67,6405.03,6402.67,6403.27,6.87627831
1541414040.0,6405.0,6405.0,6405.0,6405.0,1.06579777
1541414100.0,6405.0,6405.0,6405.0,6405.0,0.02180027
1541414160.0,6405.0,6405.0,6405.0,6405.0,0.0
1541414220.0,6405.0,6405.0,6405.0,6405.0,0.28112348
1541414280.0,6406.61,6406.61,6406.61,6406.61,0.30841258
1541414340.0,6406.61,6406.62,6406.61,6406.61,0.02850886
1541414400.0,6406.61,6406.61,6406.61,6406.61,0.14745
1541414460.0,6406.61,6406.61,6406.61,6406.61,0.55
1541414520.0,6406.61,6406.61,6406.61,6406.61,0.00295788
1541414580.0,6406.1,6406.1,6406.1,6406.1,0.03902203
